week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-45,-0.20932037955745678,0.3680732809171166,-0.540466786007439,0.9883322223374272,2.0
2025-46,-5.551115123125783e-17,1.0,6.106226635438361e-16,0.9999999999999997,2.0
2025-47,-0.10169812580413383,0.4487986690936201,0.3159476230472482,1.2741508975747262,3.0
2025-48,0.872603528481042,1.0,1.0572027151537744,1.0,1.0
2025-49,-0.15861104461968056,0.1776878504729951,-0.8189386747990097,1.0315771326329541,3.0
2025-50,-0.3632685826666573,1.061960497324641,0.08401159664746123,0.5156406142504826,6.0
2025-51,0.10833209210167892,1.2711395229316482,0.3937950688037186,1.1771283330648254,17.0
2025-52,0.031812121297439676,0.6188578440531144,-0.02928908227822938,0.8545547627480231,12.0
2026-00,0.13042875559004738,0.8504098401965366,-0.14405324994499893,0.9751073358312187,13.0
2026-01,-0.004944083180804875,0.9926803909862768,-0.012513705686922168,0.9412404873780587,86.0
2026-02,0.0756851827305396,0.9646022690649211,0.04432067799824801,0.770322672249265,57.0
2026-03,0.27849836710947257,0.9547096388942874,0.20110793286450776,0.9276903212395048,43.0
2026-04,-0.2917365667628745,0.6915329687881724,-0.14594826092847066,1.0637713555446404,38.0
2026-05,-0.16137474760326012,1.0069775794715636,-0.07788435345793235,0.9917186242756985,17.0
2026-06,0.0011483233786584242,0.765050470501252,0.04366909117934932,0.9289208713580371,15.0
